truth,model,readout,name,reference,observable,bias,rmse,rel_bias,rel_rmse,rel_res,corr,w1_sigma,within_1sd,sd_err_corr
jewel,regress_mse-jets,image,regress_mse-jets,full,mass,-0.3049984872341156,1.1335070133209229,-0.23107078671455383,0.8587595224380493,0.8270878195762634,0.621988387020921,0.2576289653368299,,
jewel,regress_mse-jets,image,regress_mse-jets,full,girth,0.0005776717443950474,0.014464620500802994,0.011359629221260548,0.2844395935535431,0.2842126786708832,0.9588785807616397,0.026095593649858098,,
jewel,regress_mse-jets,image,regress_mse-jets,full,ptd,-0.023274444043636322,0.05482206866145134,-0.19951853156089783,0.4699583351612091,0.4255034625530243,0.9146571291102864,0.19951855222236195,,
jewel,regress_mse-jets,image,regress_mse-jets,full,core,-0.004108702763915062,0.06357071548700333,-0.015467162244021893,0.23931118845939636,0.23881082236766815,0.9710716909722134,0.0378840478916407,,
jewel,regress_mse-jets,image,regress_mse-jets,full,zlead,-0.014205205254256725,0.05266256630420685,-0.09548395127058029,0.3539850413799286,0.3408639430999756,0.9418706550226549,0.09548395898309235,,
jewel,regress_mse-jets,image,regress_mse-jets,full,n1,-1.0324798822402954,2.049297571182251,-0.4889199435710907,0.9704232215881348,0.838259220123291,0.651007731044249,0.48891991921232963,,
jewel,regress_mse-jets,image,regress_mse-jets,full,zg,0.0030166264062431187,0.12847796213464344,0.027304913713992712,1.1629148584577282,1.1625942584190023,0.3411936563120436,0.03368850294370696,,
jewel,regress_mse-jets,image,regress_mse-jets,full,rg,-0.029043608086860042,0.09747355920113804,-0.25688236678660126,0.8621256185463584,0.8229653891799187,0.5937224632302891,0.25688236678660126,,
jewel,regress_mse-jets,thr0.5,"regress_mse-jets, thr0.5",thr,et,-2.373995542526245,4.384254455566406,-0.24578575789928436,0.4539129436016083,0.3816101849079132,0.9345444766877785,0.2459126037926567,,
jewel,regress_mse-jets,thr0.5,"regress_mse-jets, thr0.5",thr,mass,-1.013277292251587,1.473968505859375,-0.7778577208518982,1.131514310836792,0.8217432498931885,0.6105979772734123,0.777857680857563,,
jewel,regress_mse-jets,thr0.5,"regress_mse-jets, thr0.5",thr,girth,-0.012382610701024532,0.04126487672328949,-0.22121132910251617,0.7371836304664612,0.703210711479187,0.7951084602337153,0.23412893007641863,,
jewel,regress_mse-jets,thr0.5,"regress_mse-jets, thr0.5",thr,ptd,0.02449639141559601,0.11524070799350739,0.20482979714870453,0.9636003375053406,0.9415786862373352,0.6925743493066047,0.3213829715805414,,
